Customer_ID,Age,Gender,Location,Customer_Type,Total_Orders,Total_Spend,Avg_Order_Value,Product_Category,Purchase_Frequency,Discount_Used,Customer_Rating,Age_Group
CUST0063,19,Male,Hyderabad,New,8,37013.6,4626.7,Electronics,Medium,Yes,4.2,18-25
CUST0064,23,Male,Hyderabad,New,8,6604.72,825.59,Beauty,Medium,Yes,3.3,18-25
CUST0065,59,Male,Chennai,Returning,7,36740.48,5248.64,Fashion,Medium,No,4.9,56-65
CUST0066,21,Male,Lucknow,Returning,8,61084.24,7635.53,Electronics,Medium,No,4.2,18-25
CUST0067,46,Male,Kolkata,Returning,14,70169.26,5012.09,Electronics,High,No,3.9,46-55
CUST0068,35,Female,Hyderabad,New,19,126234.48,6643.92,Electronics,Very High,No,4.1,26-35
CUST0069,43,Female,Mumbai,New,6,42789.3,7131.55,Home & Kitchen,Medium,Yes,4.5,36-45
CUST0070,61,Male,Kolkata,New,1,2210.6,2210.6,Sports,Low,No,3.2,56-65
CUST0071,51,Female,Jaipur,Returning,15,31355.1,2090.34,Electronics,Very High,Yes,3.9,46-55
CUST0072,27,Female,Jaipur,Returning,1,5082.36,5082.36,Beauty,Low,No,3.3,26-35
CUST0073,53,Male,Pune,Returning,17,60906.07,3582.71,Home & Kitchen,Very High,Yes,5.0,46-55
CUST0074,31,Male,Kolkata,Returning,1,6798.96,6798.96,Sports,Low,No,4.1,26-35
CUST0075,48,Male,Mumbai,Returning,15,108752.55,7250.17,Fashion,Very High,No,3.4,46-55
CUST0076,65,Female,Pune,Returning,2,6301.32,3150.66,Fashion,Low,No,5.0,56-65
CUST0077,32,Female,Chennai,New,14,31871.42,2276.53,Sports,High,Yes,3.7,26-35
CUST0078,25,Male,Kolkata,Returning,8,50831.52,6353.94,Home & Kitchen,Medium,Yes,3.9,18-25
CUST0079,31,Male,Lucknow,Returning,8,20488.4,2561.05,Fashion,Medium,Yes,3.9,26-35
CUST0080,40,Male,Jaipur,Returning,19,126722.59,6669.61,Electronics,Very High,No,3.5,36-45
CUST0081,57,Male,Jaipur,Returning,7,25746.28,3678.04,Fashion,Medium,Yes,4.1,56-65
CUST0082,38,Male,Bengaluru,Returning,19,104625.78,5506.62,Home & Kitchen,Very High,No,2.8,36-45
CUST0083,33,Male,Pune,Returning,6,7299.06,1216.51,Beauty,Medium,Yes,4.6,26-35
CUST0084,62,Female,Delhi,Returning,6,31073.64,5178.94,Electronics,Medium,Yes,3.4,56-65
CUST0085,35,Female,Delhi,Returning,3,11664.78,3888.26,Home & Kitchen,Low,No,3.8,26-35
CUST0086,64,Male,Pune,New,7,34296.92,4899.56,Home & Kitchen,Medium,No,4.4,56-65
CUST0087,41,Female,Lucknow,New,19,33442.09,1760.11,Home & Kitchen,Very High,No,3.9,36-45
CUST0088,43,Male,Ahmedabad,Returning,8,48212.4,6026.55,Beauty,Medium,No,3.9,36-45
CUST0089,42,Male,Pune,Returning,10,69709.8,6970.98,Sports,High,Yes,3.4,36-45
CUST0090,62,Male,Lucknow,New,20,42511.0,2125.55,Fashion,Very High,Yes,5.0,56-65
CUST0091,58,Female,Chennai,Returning,15,18267.9,1217.86,Sports,Very High,Yes,4.3,56-65
CUST0092,46,Female,Jaipur,New,15,10159.35,677.29,Electronics,Very High,Yes,3.4,46-55
CUST0093,32,Female,Mumbai,New,1,5314.79,5314.79,Electronics,Low,No,4.1,26-35
CUST0094,62,Male,Ahmedabad,Returning,20,101064.2,5053.21,Fashion,Very High,Yes,3.4,56-65
CUST0095,18,Female,Kolkata,New,7,32201.61,4600.23,Electronics,Medium,Yes,4.9,18-25
CUST0096,42,Male,Ahmedabad,New,4,8958.4,2239.6,Fashion,Low,Yes,4.1,36-45
CUST0097,24,Female,Mumbai,New,6,20590.74,3431.79,Electronics,Medium,Yes,3.5,18-25
CUST0098,26,Male,Bengaluru,Returning,1,4958.57,4958.57,Beauty,Low,Yes,4.4,26-35
CUST0099,41,Male,Jaipur,Returning,5,21128.75,4225.75,Electronics,Medium,No,3.8,36-45
CUST0100,18,Female,Delhi,Returning,1,7908.39,7908.39,Beauty,Low,No,3.3,18-25
CUST0101,61,Female,Lucknow,Returning,4,6093.2,1523.3,Electronics,Low,No,4.2,56-65
CUST0102,25,Male,Pune,New,2,11427.16,5713.58,Sports,Low,No,4.2,18-25
CUST0103,41,Female,Pune,Returning,10,35323.9,3532.39,Beauty,High,Yes,4.6,36-45
CUST0104,28,Male,Delhi,New,5,18557.5,3711.5,Electronics,Medium,No,4.0,26-35
CUST0105,34,Female,Ahmedabad,Returning,10,58819.8,5881.98,Beauty,High,Yes,4.1,26-35
CUST0106,25,Female,Jaipur,Returning,1,5693.27,5693.27,Home & Kitchen,Low,Yes,4.1,18-25
CUST0107,52,Female,Hyderabad,Returning,6,47606.52,7934.42,Beauty,Medium,No,4.9,46-55
CUST0108,52,Female,Lucknow,New,13,19018.48,1462.96,Home & Kitchen,High,Yes,3.8,46-55
CUST0109,50,Female,Chennai,Returning,15,19212.3,1280.82,Home & Kitchen,Very High,No,4.3,46-55
CUST0110,22,Male,Mumbai,New,4,23730.16,5932.54,Beauty,Low,Yes,4.3,18-25
CUST0111,59,Female,Ahmedabad,New,13,62892.7,4837.9,Fashion,High,No,4.2,56-65
CUST0112,56,Male,Kolkata,Returning,20,51124.0,2556.2,Electronics,Very High,Yes,3.8,56-65
CUST0113,58,Male,Bengaluru,New,15,16434.75,1095.65,Sports,Very High,Yes,4.1,56-65
CUST0114,45,Male,Pune,Returning,8,9139.52,1142.44,Fashion,Medium,No,3.9,36-45
CUST0115,24,Male,Ahmedabad,New,5,36032.15,7206.43,Home & Kitchen,Medium,Yes,5.0,18-25
CUST0116,26,Female,Bengaluru,New,15,29085.0,1939.0,Electronics,Very High,Yes,3.7,26-35
CUST0117,25,Male,Mumbai,Returning,4,11701.16,2925.29,Home & Kitchen,Low,Yes,3.5,18-25
CUST0118,29,Female,Pune,Returning,12,26399.04,2199.92,Sports,High,No,4.0,26-35
CUST0119,51,Male,Pune,Returning,13,41112.11,3162.47,Fashion,High,No,4.0,46-55
CUST0120,50,Male,Hyderabad,Returning,2,2041.36,1020.68,Fashion,Low,Yes,4.1,46-55
CUST0121,65,Male,Ahmedabad,Returning,19,83466.05,4392.95,Beauty,Very High,No,3.7,56-65
CUST0122,40,Male,Jaipur,New,19,19134.71,1007.09,Beauty,Very High,No,4.1,36-45
CUST0123,41,Male,Delhi,Returning,4,26010.68,6502.67,Fashion,Low,No,4.1,36-45
CUST0124,54,Female,Delhi,Returning,4,9011.36,2252.84,Fashion,Low,No,4.5,46-55
CUST0125,52,Male,Chennai,Returning,11,50050.99,4550.09,Sports,High,Yes,4.1,46-55
CUST0126,61,Female,Kolkata,Returning,5,35502.95,7100.59,Beauty,Medium,No,4.1,56-65
CUST0127,57,Male,Bengaluru,Returning,20,107631.6,5381.58,Electronics,Very High,Yes,4.3,56-65
CUST0128,39,Male,Ahmedabad,Returning,11,49468.98,4497.18,Electronics,High,Yes,4.5,36-45
CUST0129,44,Female,Lucknow,Returning,10,29325.0,2932.5,Home & Kitchen,High,No,3.5,36-45
CUST0130,52,Male,Kolkata,New,8,23980.08,2997.51,Fashion,Medium,No,3.3,46-55
CUST0131,18,Male,Hyderabad,New,6,33126.9,5521.15,Fashion,Medium,Yes,4.9,18-25
CUST0132,52,Male,Pune,Returning,6,47736.3,7956.05,Sports,Medium,Yes,4.4,46-55
CUST0133,54,Male,Jaipur,New,8,43710.32,5463.79,Electronics,Medium,No,3.9,46-55
CUST0134,64,Female,Ahmedabad,Returning,15,70250.7,4683.38,Beauty,Very High,Yes,4.0,56-65
CUST0135,31,Male,Kolkata,Returning,14,83718.32,5979.88,Fashion,High,Yes,3.8,26-35
CUST0136,20,Female,Kolkata,Returning,11,43879.44,3989.04,Beauty,High,Yes,4.1,18-25
CUST0137,18,Female,Jaipur,New,12,11412.84,951.07,Beauty,High,Yes,3.5,18-25
CUST0138,22,Male,Chennai,New,13,61323.99,4717.23,Electronics,High,No,4.5,18-25
CUST0139,43,Female,Bengaluru,Returning,8,61457.52,7682.19,Home & Kitchen,Medium,Yes,4.1,36-45
CUST0140,31,Male,Bengaluru,Returning,18,32665.86,1814.77,Electronics,Very High,No,4.1,26-35
CUST0141,56,Female,Kolkata,Returning,1,5675.04,5675.04,Sports,Low,Yes,3.5,56-65
CUST0142,44,Male,Mumbai,Returning,15,30105.0,2007.0,Sports,Very High,No,4.3,36-45
CUST0143,26,Female,Kolkata,Returning,8,36149.68,4518.71,Fashion,Medium,No,3.5,26-35
CUST0144,32,Male,Kolkata,Returning,11,13475.77,1225.07,Fashion,High,No,3.6,26-35
CUST0145,32,Male,Jaipur,Returning,12,46533.36,3877.78,Fashion,High,No,4.0,26-35
CUST0146,43,Female,Pune,New,12,74054.64,6171.22,Beauty,High,No,5.0,36-45
CUST0147,59,Female,Jaipur,Returning,4,12427.16,3106.79,Fashion,Low,Yes,4.1,56-65
CUST0148,30,Male,Ahmedabad,Returning,16,87789.44,5486.84,Fashion,Very High,No,2.6,26-35
CUST0149,49,Male,Kolkata,Returning,4,25863.48,6465.87,Fashion,Low,No,3.6,46-55
CUST0150,56,Female,Bengaluru,New,5,37269.15,7453.83,Electronics,Medium,Yes,4.4,56-65
CUST0151,49,Female,Lucknow,Returning,5,11299.1,2259.82,Beauty,Medium,Yes,3.4,46-55
CUST0152,21,Female,Bengaluru,Returning,8,27958.96,3494.87,Electronics,Medium,No,4.5,18-25
CUST0153,47,Female,Delhi,Returning,10,16431.2,1643.12,Home & Kitchen,High,No,4.1,46-55
CUST0154,54,Female,Chennai,New,17,135041.71,7943.63,Electronics,Very High,Yes,4.5,46-55
CUST0155,40,Female,Hyderabad,Returning,9,67072.59,7452.51,Fashion,Medium,Yes,3.7,36-45
CUST0156,56,Male,Ahmedabad,Returning,19,86443.92,4549.68,Home & Kitchen,Very High,No,3.6,56-65
CUST0157,62,Male,Ahmedabad,New,14,95413.5,6815.25,Sports,High,Yes,4.3,56-65
CUST0158,32,Female,Chennai,Returning,8,35257.44,4407.18,Beauty,Medium,No,4.0,26-35
CUST0159,60,Female,Lucknow,Returning,9,46592.01,5176.89,Fashion,Medium,No,4.0,56-65
CUST0160,46,Male,Hyderabad,Returning,11,12852.73,1168.43,Electronics,High,No,4.9,46-55
CUST0161,53,Male,Pune,Returning,1,6164.53,6164.53,Sports,Low,Yes,4.3,46-55
CUST0162,30,Female,Kolkata,New,14,20409.9,1457.85,Fashion,High,No,2.9,26-35
CUST0163,49,Male,Hyderabad,New,5,33477.55,6695.51,Electronics,Medium,No,4.4,46-55
CUST0164,24,Male,Lucknow,Returning,14,89112.94,6365.21,Sports,High,No,4.4,18-25
CUST0165,39,Male,Mumbai,New,4,23262.36,5815.59,Beauty,Low,Yes,4.7,36-45
CUST0166,45,Male,Delhi,New,1,771.2,771.2,Sports,Low,Yes,3.5,36-45
CUST0167,19,Male,Hyderabad,New,19,52695.74,2773.46,Sports,Very High,No,4.2,18-25
CUST0168,59,Male,Hyderabad,New,8,19786.72,2473.34,Sports,Medium,Yes,4.1,56-65
CUST0169,62,Male,Delhi,Returning,15,48015.3,3201.02,Electronics,Very High,Yes,3.5,56-65
CUST0170,23,Female,Kolkata,New,15,17359.8,1157.32,Electronics,Very High,Yes,4.5,18-25
CUST0171,45,Male,Hyderabad,Returning,9,67744.62,7527.18,Home & Kitchen,Medium,No,3.9,36-45
CUST0172,45,Female,Delhi,New,9,41881.68,4653.52,Home & Kitchen,Medium,Yes,4.6,36-45
CUST0173,61,Female,Delhi,Returning,10,27914.3,2791.43,Fashion,High,Yes,3.6,56-65
CUST0174,61,Male,Delhi,New,20,69547.2,3477.36,Fashion,Very High,Yes,3.2,56-65
CUST0175,37,Female,Jaipur,Returning,9,34686.18,3854.02,Fashion,Medium,No,3.9,36-45
CUST0176,47,Male,Lucknow,Returning,3,15013.38,5004.46,Home & Kitchen,Low,Yes,4.1,46-55
CUST0177,28,Female,Jaipur,New,20,87352.0,4367.6,Electronics,Very High,Yes,3.7,26-35
CUST0178,45,Male,Mumbai,Returning,11,81349.84,7395.44,Fashion,High,Yes,2.5,36-45
CUST0179,42,Female,Pune,New,6,25363.38,4227.23,Home & Kitchen,Medium,No,4.2,36-45
CUST0180,56,Female,Jaipur,Returning,2,15882.38,7941.19,Beauty,Low,Yes,4.2,56-65
CUST0181,50,Male,Jaipur,New,7,48199.83,6885.69,Electronics,Medium,Yes,4.4,46-55
CUST0182,18,Male,Lucknow,Returning,18,37148.94,2063.83,Home & Kitchen,Very High,Yes,3.8,18-25
CUST0183,44,Female,Pune,New,2,14958.92,7479.46,Beauty,Low,No,3.8,36-45
CUST0184,30,Female,Chennai,Returning,17,23336.75,1372.75,Fashion,Very High,No,4.8,26-35
CUST0185,58,Male,Delhi,New,11,72939.57,6630.87,Electronics,High,No,3.1,56-65
CUST0186,20,Female,Ahmedabad,New,12,40256.04,3354.67,Fashion,High,No,3.9,18-25
CUST0187,56,Male,Pune,Returning,19,134611.39,7084.81,Fashion,Very High,Yes,4.1,56-65
CUST0188,23,Female,Mumbai,Returning,7,49073.01,7010.43,Sports,Medium,No,4.3,18-25
CUST0189,25,Male,Kolkata,New,20,130888.8,6544.44,Electronics,Very High,Yes,4.1,18-25
CUST0190,44,Female,Mumbai,New,6,38551.38,6425.23,Home & Kitchen,Medium,Yes,3.5,36-45
CUST0191,26,Male,Delhi,New,1,2785.09,2785.09,Electronics,Low,Yes,4.6,26-35
CUST0192,54,Male,Pune,New,17,18817.13,1106.89,Fashion,Very High,Yes,4.0,46-55
CUST0193,50,Male,Mumbai,New,11,38745.85,3522.35,Home & Kitchen,High,No,3.1,46-55
CUST0194,59,Male,Mumbai,Returning,18,32425.74,1801.43,Fashion,Very High,Yes,4.1,56-65
CUST0195,61,Male,Chennai,New,17,97106.21,5712.13,Fashion,Very High,No,4.3,56-65
CUST0196,41,Male,Chennai,New,7,21670.25,3095.75,Electronics,Medium,Yes,5.0,36-45
CUST0197,32,Female,Pune,Returning,17,132890.36,7817.08,Fashion,Very High,Yes,4.2,26-35
CUST0198,49,Male,Delhi,Returning,20,106145.8,5307.29,Home & Kitchen,Very High,No,3.2,46-55
CUST0199,49,Male,Jaipur,New,9,60017.4,6668.6,Fashion,Medium,No,3.2,46-55
CUST0200,41,Male,Bengaluru,New,17,25396.98,1493.94,Sports,Very High,No,4.7,36-45
CUST0201,58,Male,Hyderabad,Returning,20,139302.2,6965.11,Home & Kitchen,Very High,Yes,3.6,56-65
CUST0202,29,Male,Ahmedabad,New,8,59365.44,7420.68,Fashion,Medium,Yes,3.1,26-35
CUST0203,56,Male,Hyderabad,Returning,17,70600.32,4152.96,Electronics,Very High,No,4.6,56-65
CUST0204,19,Male,Lucknow,New,7,35328.3,5046.9,Home & Kitchen,Medium,No,3.7,18-25
CUST0205,20,Male,Chennai,Returning,1,6236.07,6236.07,Beauty,Low,Yes,4.5,18-25
CUST0206,54,Female,Pune,New,13,23546.77,1811.29,Fashion,High,No,3.5,46-55
CUST0207,34,Female,Hyderabad,Returning,19,81115.75,4269.25,Beauty,Very High,No,4.8,26-35
CUST0208,19,Male,Delhi,Returning,19,66309.43,3489.97,Fashion,Very High,No,4.5,18-25
CUST0209,19,Male,Ahmedabad,Returning,17,27162.6,1597.8,Beauty,Very High,No,3.6,18-25
CUST0210,45,Female,Hyderabad,New,13,42334.63,3256.51,Electronics,High,No,3.1,36-45
CUST0211,40,Male,Ahmedabad,New,16,16180.64,1011.29,Sports,Very High,Yes,5.0,36-45
CUST0212,54,Female,Kolkata,New,8,5548.72,693.59,Home & Kitchen,Medium,Yes,3.9,46-55
CUST0213,49,Male,Delhi,New,19,28761.25,1513.75,Fashion,Very High,No,3.6,46-55
CUST0214,50,Female,Bengaluru,New,18,139020.48,7723.36,Fashion,Very High,Yes,4.8,46-55
CUST0215,18,Female,Mumbai,Returning,1,4621.47,4621.47,Fashion,Low,Yes,4.5,18-25
CUST0216,36,Female,Ahmedabad,Returning,14,108411.38,7743.67,Sports,High,Yes,4.7,36-45
CUST0217,19,Female,Delhi,Returning,19,71130.87,3743.73,Fashion,Very High,Yes,3.9,18-25
CUST0218,61,Male,Ahmedabad,Returning,15,42579.3,2838.62,Electronics,Very High,No,5.0,56-65
CUST0219,43,Male,Ahmedabad,Returning,18,77329.08,4296.06,Home & Kitchen,Very High,No,3.3,36-45
CUST0220,49,Female,Jaipur,New,2,7592.68,3796.34,Home & Kitchen,Low,Yes,3.7,46-55
CUST0221,23,Female,Jaipur,Returning,17,21972.33,1292.49,Home & Kitchen,Very High,Yes,4.2,18-25
CUST0222,49,Male,Delhi,New,18,95511.6,5306.2,Home & Kitchen,Very High,No,4.6,46-55
CUST0223,21,Male,Jaipur,Returning,6,12721.74,2120.29,Fashion,Medium,No,4.4,18-25
CUST0224,28,Male,Lucknow,Returning,19,97791.29,5146.91,Sports,Very High,No,4.0,26-35
CUST0225,34,Male,Bengaluru,Returning,4,21506.04,5376.51,Fashion,Low,Yes,3.7,26-35
CUST0226,55,Female,Pune,Returning,1,1640.19,1640.19,Electronics,Low,Yes,4.6,46-55
CUST0227,41,Male,Delhi,New,8,7680.96,960.12,Beauty,Medium,Yes,4.4,36-45
CUST0228,22,Male,Delhi,Returning,7,44489.97,6355.71,Home & Kitchen,Medium,No,3.5,18-25
CUST0229,51,Male,Lucknow,Returning,3,11845.5,3948.5,Fashion,Low,No,3.5,46-55
CUST0230,23,Male,Chennai,Returning,10,9362.3,936.23,Home & Kitchen,High,No,3.7,18-25
CUST0231,39,Male,Chennai,Returning,10,79615.0,7961.5,Electronics,High,Yes,3.6,36-45
CUST0232,28,Female,Jaipur,New,19,17733.65,933.35,Fashion,Very High,No,4.6,26-35
CUST0233,65,Female,Pune,New,14,79978.64,5712.76,Sports,High,No,4.2,56-65
CUST0234,33,Female,Jaipur,New,2,15755.18,7877.59,Electronics,Low,Yes,4.3,26-35
CUST0235,50,Male,Kolkata,New,1,2293.85,2293.85,Fashion,Low,Yes,4.1,46-55
CUST0236,26,Female,Kolkata,Returning,18,28203.66,1566.87,Beauty,Very High,Yes,4.1,26-35
CUST0237,23,Female,Mumbai,Returning,7,9872.73,1410.39,Sports,Medium,Yes,3.1,18-25
CUST0238,33,Female,Kolkata,Returning,8,22196.48,2774.56,Fashion,Medium,Yes,4.4,26-35
CUST0239,46,Male,Chennai,Returning,1,1257.84,1257.84,Home & Kitchen,Low,Yes,3.7,46-55
CUST0240,20,Male,Bengaluru,Returning,3,17073.63,5691.21,Home & Kitchen,Low,Yes,4.0,18-25
CUST0241,37,Male,Kolkata,Returning,8,7737.52,967.19,Sports,Medium,Yes,3.7,36-45
CUST0242,53,Male,Jaipur,New,15,64810.05,4320.67,Sports,Very High,Yes,4.1,46-55
CUST0243,36,Male,Ahmedabad,Returning,5,39876.15,7975.23,Electronics,Medium,No,4.3,36-45
CUST0244,43,Male,Delhi,New,3,19814.34,6604.78,Fashion,Low,No,3.4,36-45
CUST0245,20,Male,Bengaluru,New,19,97168.85,5114.15,Fashion,Very High,No,4.1,18-25
CUST0246,36,Female,Bengaluru,Returning,1,2796.9,2796.9,Beauty,Low,Yes,3.8,36-45
CUST0247,37,Male,Jaipur,New,15,77688.3,5179.22,Home & Kitchen,Very High,No,4.7,36-45
CUST0248,49,Male,Delhi,New,8,35622.48,4452.81,Home & Kitchen,Medium,Yes,3.4,46-55
CUST0249,24,Female,Chennai,New,2,7391.26,3695.63,Sports,Low,No,3.4,18-25
CUST0250,58,Female,Bengaluru,New,3,4440.99,1480.33,Electronics,Low,Yes,3.8,56-65
CUST0251,50,Female,Mumbai,Returning,14,100093.42,7149.53,Fashion,High,No,3.5,46-55
CUST0252,57,Female,Jaipur,New,14,54227.32,3873.38,Fashion,High,Yes,3.9,56-65
CUST0253,56,Female,Bengaluru,New,11,21556.37,1959.67,Fashion,High,No,3.7,56-65
CUST0254,35,Female,Pune,Returning,16,52131.2,3258.2,Electronics,Very High,Yes,4.0,26-35
CUST0255,57,Male,Delhi,Returning,4,14423.88,3605.97,Electronics,Low,Yes,4.6,56-65
CUST0256,18,Male,Kolkata,Returning,20,134130.6,6706.53,Beauty,Very High,Yes,4.0,18-25
CUST0257,28,Male,Bengaluru,New,5,30010.55,6002.11,Sports,Medium,No,4.1,26-35
CUST0258,45,Male,Jaipur,Returning,14,87777.06,6269.79,Home & Kitchen,High,No,3.4,36-45
CUST0259,42,Male,Kolkata,Returning,16,9323.68,582.73,Home & Kitchen,Very High,No,3.9,36-45
CUST0260,40,Female,Mumbai,Returning,18,65180.7,3621.15,Fashion,Very High,Yes,3.8,36-45
CUST0261,48,Female,Kolkata,Returning,7,28770.56,4110.08,Beauty,Medium,Yes,4.4,46-55
CUST0262,47,Female,Pune,Returning,10,6439.4,643.94,Beauty,High,No,3.6,46-55
CUST0263,59,Male,Chennai,New,7,17140.2,2448.6,Home & Kitchen,Medium,Yes,3.5,56-65
CUST0264,52,Female,Bengaluru,Returning,1,6202.17,6202.17,Electronics,Low,No,4.2,46-55
CUST0265,24,Female,Hyderabad,Returning,19,29038.08,1528.32,Electronics,Very High,No,5.0,18-25
